episode,interval,reward
10,-785.9482396673113,-785.9482396673113
20,-561.2011444088179,-673.5746920380644
30,-508.0037224084082,-618.384368828179
40,-450.67090343982557,-576.4560024810905
50,-367.7717609611017,-534.7191541770928
60,-202.77859374461036,-479.39572743834583
70,-138.21966441665273,-430.6562898638183
80,-76.11069966242047,-386.3380910886436
90,-27.003451591197784,-346.4120200333719
100,17.897235303637608,-309.9810944996709
110,45.706086057857235,-277.64589626716827
120,75.44675515598365,-248.22150864857227
130,99.65066097013637,-221.46211098559473
140,111.12082856269178,-197.70618673214562
150,133.51982609640402,-175.6244525435757
160,158.14193150125152,-154.76405354077397
170,186.35859564780029,-134.69801535321076
180,208.8014969194431,-115.61470911584111
190,237.42533819919555,-97.03365399399708
200,262.9454630835736,-79.03469814011855
210,288.5581824551315,-61.53027525463047
220,308.8225734135063,-44.69605486062425
230,314.2624056556602,-29.089165272959697
240,315.2152502387561,-14.743147959971537
250,338.53574311032446,-0.6119923171596968
260,350.4644213673659,12.890946670706674
270,349.4760366041252,25.357061112685134
280,366.2565228301077,37.53204188830736
290,373.7059805304485,49.12424666907085
300,384.3740559251835,60.29924031094128
310,388.92366092726724,70.90002807275822
320,397.30447150027277,81.10016692986805
330,401.17255256025885,90.799330130789
340,414.87004213303123,100.33082166026671
350,427.049732798904,109.66564769279921
360,449.21184262054976,119.09748644079225
370,494.4070483432207,129.24098811383084
380,524.0634119300614,139.63105189846848
390,546.6758990721862,150.06809926189712
400,568.8834557361353,160.53848317375312
410,592.285101416794,171.06888849675408
420,541.6278957954581,179.8917220038661
430,540.5454669729977,188.2790183984971
440,597.8867194144071,197.58828433067686
450,632.7552085897671,207.2586604253233
460,667.9963172418821,217.27469644307456
470,615.6240670317516,225.75021496623785
480,568.4931452180928,232.89069267981813
490,594.5502538335426,240.2715000503023
500,668.8518042636014,248.84310613456827
510,654.6419337919758,256.7999458925567
520,631.0417950846099,263.99690453086544
530,628.7660509489223,270.8793412557344
540,678.047964508993,278.4195009456096
550,727.8566642338716,286.59108573266894
560,750.8327836005353,294.881116051738
570,747.4255641620241,302.82049233437465
580,734.1614369605587,310.2574051727572
590,773.8905062588055,318.11559332675796
600,731.7387959212436,325.0093133699992
610,753.0159313186211,332.025815303583
620,778.2531851300884,339.223030945946
630,843.5036003877345,347.2274844291489
640,841.2738465345058,354.94695883704503
650,884.4615634967213,363.0933373702708
660,849.292739737157,370.45999498189036
670,858.1425359333443,377.73883887668813
680,898.2197159278945,385.3929694215589
690,866.7918881288595,392.3697653448531
700,860.2748184814433,399.0541232468044
710,867.0028213832927,405.64494998112116
720,885.5267032413609,412.3099743319579
730,888.2585927772718,418.8298184202499
740,908.9211398357986,425.45267411505466
750,839.8865441882401,430.97845904936383
760,938.0787988426258,437.6508319413805
770,906.1646540265126,443.73542703339524
780,937.7200436154524,450.0685631434215
790,922.6890185441655,456.0511005535575
800,929.610263500095,461.9705900903893
810,927.443375705188,467.71716769057196
820,905.84105812507,473.0601419641634
830,843.8179747969214,477.52710380552185
840,914.6674752790825,482.7311558468738
850,944.3890881061776,488.16242563815973
860,953.0757949558432,493.56839504883044
870,966.0039970274036,498.9986893244462
880,948.1500348048885,504.102681886724
890,928.3633616123489,508.86965581622536
900,941.0143601830925,513.6712636425239
910,917.068450067617,518.1041997570852
920,927.6335107678564,522.5556053115503
930,907.3271781953314,526.6929340522361
940,899.3996211067966,530.6578988081355
950,939.9536412990423,534.966275044882
960,951.7803216641198,539.3080880304991
