episode,interval,reward
10,-866.5113350978975,-866.5113350978975
20,-507.3362881792673,-686.9238116385824
30,-391.72493265160625,-588.5241853095902
40,-360.0521249644536,-531.4061702233059
50,-342.34648079536726,-493.5942323377183
60,-315.8377972897689,-463.9681598297268
70,-250.931283367474,-433.5343203351193
80,-135.66319787721483,-396.30043002788113
90,-89.66875626788269,-362.230244054548
100,-65.80882494019922,-332.58810214311313
110,-45.03615552562969,-306.4470160869783
120,-30.649176051392907,-283.4638627506795
130,-1.247684053532741,-261.7549259278221
140,25.75923304376936,-241.21820028699418
150,47.11890526329772,-221.9957265836414
160,55.628655592955944,-204.64420269760404
170,66.22238026958584,-188.71087428776934
180,76.84440472240196,-173.95780323164865
190,88.32105958290205,-160.15365255719863
200,88.89694116016028,-147.70112287133065
210,99.25935382972975,-135.9411001712802
220,98.72209091673383,-125.27459148546139
230,99.64989626369389,-115.4952659311503
240,107.37268355646066,-106.20910136916652
250,107.87501004372999,-97.64573691265065
260,114.74586484168807,-89.47682915286838
270,113.86953364682863,-81.94548238250924
280,110.34684884344226,-75.07789912443954
290,117.01829612607648,-68.45389239166309
300,115.42014499388354,-62.32475781214485
310,123.35457576975963,-56.33510189014793
320,122.81777457700396,-50.736574500549445
330,120.78074910175698,-45.53907984593411
340,128.36961695121587,-40.424118175429705
350,129.40451699933013,-35.57187145615085
360,135.35970141955843,-30.82377220960339
370,131.52609850547748,-26.435937865952557
380,137.60914565691084,-22.11896198377194
390,140.01064564348235,-17.96179255743208
400,131.47584092713342,-14.225851720317946
410,130.9099189852094,-10.685954873841668
420,134.87509975483226,-7.220215477920861
430,129.23335659289393,-4.046876592553074
440,130.02204931842462,-0.9998555491217631
450,133.72015561973944,1.9939224768529302
460,137.10702281808477,4.931163788618839
470,129.22262732403036,7.575663012776531
480,126.7900891723752,10.059296891101503
490,123.77170099652315,12.379958199375412
500,127.34544477893253,14.679267930966555
510,119.23960720630768,16.729470661855597
