episode,interval,reward
10,-3.6312481836660253,-3.6312481836660253
20,-2.724444042586619,-3.1778461131263223
30,-2.7930536416401903,-3.049581955964279
40,-2.788310855216796,-2.9842641807774077
50,-3.0159744413751404,-2.990606232896955
60,-3.13627592807476,-3.0148845154265893
70,-3.419441420660628,-3.0726783590314524
80,-3.7103105799797738,-3.152382386649992
90,-4.221988309505122,-3.2712274891894513
100,-4.344754001789937,-3.3785801404495
110,-4.982672006533555,-3.5244066737298683
120,-3.7543714986261905,-3.5435704091378954
