episode,interval,reward
10,-1.288473629193454,-1.2884736291934538
20,0.05359746631292077,-0.6174380814402662
30,-0.06386388391138634,-0.4329133489306395
40,0.5020885625024929,-0.1991628710723564
50,-0.013580314661590234,-0.1620463597902032
60,-0.038120250462613844,-0.14139200823560494
70,0.7008792185735774,-0.021067547262864594
80,2.494570469680986,0.29338720485511677
90,-0.0566630992208782,0.2544927266244507
100,1.5146599528283224,0.3805094492448379
110,0.4565420357223557,0.3874215025609758
120,-0.09224810076063522,0.3474490356175082
130,0.14425337666237098,0.33181860031326693
140,0.2555687357514415,0.3263721814159937
150,1.1302652283307304,0.37996505121030943
160,6.473576292712552,0.7608157538041996
170,0.5160977213054057,0.7464205754219178
180,1.6667267525134146,0.7975486963714454
190,4.416747863344982,0.9880328630542631
200,8.345559600067876,1.3559091999049437
210,12.854923125102028,1.9034812915809955
220,14.607271071020739,2.480926281555529
230,22.886607376530236,3.368129807423994
240,21.851294305787434,4.138261661522471
250,45.010021885192295,5.773132070469265
260,64.07713737502834,8.015593812952305
270,41.25397480439001,9.246644960783328
280,31.46548318714671,10.040174897439163
290,69.70893176048722,12.097718237544267
300,38.28106026574736,12.970496305151038
310,71.57073478076768,14.86082657855803
320,87.21713541815981,17.12196122979558
330,152.50694248073398,21.224536419217955
340,142.92008468827567,24.803817250660824
350,111.76614110868677,27.288455075175843
360,218.23681088084177,32.59257606977767
370,256.6893480298977,38.64924558221334
380,310.54723461486515,45.80445581991471
390,373.38542198966655,54.203967772985266
400,595.4271695725814,67.73454781797517
410,682.6154355268693,82.7316426401433
420,804.613530319672,99.91930663251304
430,1042.0780868428924,121.82997593973116
440,1186.676504478325,146.0310334065174
450,1295.5991378838594,171.57699128379167
460,1562.7111956583158,201.81903920497695
470,1569.707545868636,230.92304998505477
480,1580.4882960624354,259.03899261166686
490,1645.7710941291796,287.3396477446774
500,1916.6106567083148,319.92506792395005
510,1672.336487640669,346.44293889878765
520,2060.9453989999647,379.4141400545795
530,2052.0579509362897,410.97345724102684
540,2265.0112299645048,445.3074900692395
550,2143.204906965745,476.1783521946305
560,2142.168085064116,505.92816885301403
570,2014.1131000982618,532.3875536117025
580,2149.8174376920238,560.2742757510183
590,2172.4923348102093,587.6000055655807
600,2173.84819270648,614.0374753512623
610,2332.482438753798,642.2087042595003
620,2393.4025898431723,670.4537669302046
630,2320.8231624173495,696.6501065411117
640,2277.6859463117794,721.3537915375284
650,2605.50954101413,750.3408030679378
660,2350.8955535555624,774.591632620781
670,2633.279647713019,802.3332447863364
680,2614.977140825725,828.9897726692687
690,2472.68537598058,852.8114480795778
700,2556.8822378025347,877.1553165041913
710,2225.954961102149,896.1524945971202
720,2428.877346897106,917.4403397679536
730,2384.290621697427,937.5341792464399
740,2293.0026363660154,955.8513205588665
750,2175.123655463342,972.1082850242595
760,2270.2543570658104,989.1891543932273
770,2369.845375402675,1007.1197546660771
780,2263.9165557328815,1023.2325341669338
790,2592.3113473949006,1043.0942912964013
800,2558.2448474063976,1062.0336732477765
810,2484.3578045693293,1079.5932304245857
820,2590.094458702816,1098.0139771109057
830,2731.792683122728,1117.698057906229
840,2601.1372725759493,1135.3580485570594
850,2347.0239751820613,1149.6129418114706
860,2567.526755903661,1166.1003117427751
870,2681.440173277867,1183.5180113006502
880,2694.5844515118347,1200.6892208485046
890,2724.7552224306064,1217.8135579449324
900,2727.170936368902,1234.5841954829764
910,2589.826309409723,1249.4769659656874
920,2824.0185043130687,1266.5915479042465
930,2645.8971058571797,1281.4227904628804
940,2767.476488801479,1297.2318723600997
950,2715.918633226322,1312.165417211323
960,2671.479915557963,1326.3249432357675
970,2469.525686582397,1338.110517909444
980,2543.928769200341,1350.4147857797593
990,2752.679293157543,1364.5790737330701
1000,2569.346725834949,1376.626750254089
1010,2552.156393576332,1388.2656576137158
1020,2171.52612921,1395.9446818450517
1030,2403.143491754704,1405.7233110674756
1040,2529.182497431905,1416.5258032440563
1050,2467.0490466255796,1426.5307865143568
1060,2475.083963015311,1436.4227976134225
1070,2467.0939177829723,1446.0552379888386
1080,2690.007102755219,1457.5733108107497
1090,2583.7495410749157,1467.9052028315216
1100,2503.1345468838635,1477.3163786865427
1110,2426.660960119937,1485.8690325733305
1120,2646.6711439877845,1496.2333371395307
1130,2759.1861735730176,1507.4099109132785
1140,2582.9449270297237,1516.8444285985113
1150,2547.6833472941394,1525.808245282821
1160,2628.8019972625216,1535.3168121102326
1170,2534.117600723209,1543.8535709872667
1180,2543.397751881169,1552.3242843846724
1190,2366.1654903879344,1559.1632861157925
1200,2537.0718403466367,1567.3125240677161
1210,2781.4652920375893,1577.346844464161
1220,2613.2198759867283,1585.837607017625
1230,2640.476679557117,1594.4119084203853
1240,2785.2521922510805,1604.0154590964391
1250,2688.914705064209,1612.6946530641812
1260,2566.479941211893,1620.2643775732902
1270,2613.6131208586244,1628.086021221206
1280,2687.086364020547,1636.359461399326
1290,2853.1662718558987,1645.7920723330976
1300,2669.7599943094483,1653.6687486559929
1310,2651.1279500647447,1661.2829410331597
1320,2592.846297964622,1668.3402391917311
1330,2673.8934764123283,1675.900789847525
1340,2716.5363606396527,1683.6667269429895
1350,2605.2443746954764,1690.4932280374526
1360,2834.5503449262087,1698.9054127204581
1370,2656.5266311617243,1705.8953486214896
1380,3007.2655212296304,1715.3255672635778
1390,2934.5029133931266,1724.096627307675
1400,2953.899087069117,1732.880930591685
1410,2777.4987255127503,1740.2895674350968
1420,3041.0466381140013,1749.449828496216
1430,2748.784122468899,1756.438180202318
1440,2988.6897970134987,1764.9954830968397
1450,3032.481166626037,1773.7367636729025
1460,3057.1372937944034,1782.527178262776
1470,2741.847356057641,1789.0531658668224
1480,2869.052708761495,1796.3504600755707
1490,2784.3723434266562,1802.9814794269203
1500,3070.4258037682066,1811.4311082558615
1510,2690.6610934439295,1817.2538233895573
1520,2872.282887325732,1824.1948040733478
1530,2888.5227002437086,1831.1511955515855
1540,2635.9850290770964,1836.377389275777
1550,2791.188864697595,1842.5374633107565
1560,2784.024585654022,1848.5726371719318
1570,2694.4129798019985,1853.9601552778556
1580,2909.7366009363136,1860.642284680757
1590,2756.814745157279,1866.2785894636284
1600,3151.3872792208263,1874.3105187746107
1610,2913.4598904148056,1880.7648626978416
1620,2883.79008366397,1886.9563764075094
1630,2761.068173041418,1892.3190254666133
1640,2848.987142132151,1898.1523676414033
1650,3048.737342820176,1905.1256099152142
1660,2674.9665930827045,1909.7632061993554
1670,2695.167963716643,1914.4662286994592
1680,2624.6286217647353,1918.693385801038
1690,2707.3470077693314,1923.3599752801404
1700,2956.8267766087147,1929.439191758544
1710,2899.517199445966,1935.1121625637334
1720,2776.1522752958463,1940.0019306610134
1730,3018.725387169973,1946.237326363377
1740,2828.5175239094365,1951.3079022113427
1750,2881.73745240338,1956.6246424981548
1760,2790.6563520976406,1961.36345902997
1770,2889.6993167031005,1966.6082943840559
1780,2992.508838723432,1972.3717805882097
1790,2933.392673431379,1977.7406123918029
1800,2963.840940602945,1983.2189475485313
1810,3175.497621992351,1989.8061225454585
1820,3048.5048520435516,1995.623148531712
1830,2767.6122383391134,1999.841668148146
1840,3036.7527324456514,2005.477054367154
1850,3112.6738296805615,2011.4619018012802
1860,3012.2818826323287,2016.8426543863936
1870,3114.7151840687175,2022.7136304809512
1880,2896.0901999085954,2027.3592505310985
1890,3256.125381425844,2033.8606586310705
1900,2911.751689870748,2038.4811377428582
1910,2959.529148090064,2043.3033786347285
1920,2898.0673191582755,2047.7552741582883
1930,3183.5342348233353,2053.6401392394546
1940,3171.689502919185,2059.40328028935
1950,3267.679712606265,2065.5995696858463
1960,3181.5306243520536,2071.2930954749595
1970,3258.7389441240543,2077.320739376731
1980,3294.7700138550863,2083.4694730862175
1990,3382.392897446857,2089.996726474965
2000,3118.929234106991,2095.1413890131234
2010,3170.7996108998223,2100.4929224553457
2020,3159.8175497581597,2105.737103778627
2030,3290.0594261092583,2111.5712038886304
2040,2942.34032058339,2115.6436015194868
2050,3040.0017010078,2120.15266541943
2060,3041.975845713375,2124.627535226682
2070,3020.2042817327515,2128.9539929392713
2080,3051.1570555032063,2133.3876615092895
2090,3081.776377467008,2137.9254065617183
2100,2880.422005115469,2141.4611046500695
2110,3108.9291648730496,2146.0462613335917
2120,2856.833168004486,2149.399029761284
2130,2991.8163683311686,2153.3540407404853
2140,3024.345415458795,2157.4240938933744
2150,2983.6345075044715,2161.2669330264503
2160,3016.5693080624424,2165.22666624421
2170,3011.743090284504,2169.127663590017
2180,2996.367286147469,2172.9223407577115
2190,3010.116666616371,2176.7451458986184
2200,3013.321193526236,2180.547764296926
2210,2940.3781858899833,2183.985911000967
2220,3049.6343756089773,2187.885228409111
2230,2922.7228970492683,2191.180464591354
2240,2955.911120127165,2194.5944407321385
2250,3070.142936434329,2198.4857673797032
2260,2992.6041248705415,2201.9995654216978
2270,3138.246721584167,2206.124002232986
2280,3221.8701048602406,2210.5790289988954
2290,3098.934561548622,2214.4583108004217
2300,3335.2693765658814,2219.3314023907055
2310,3295.2432606595635,2223.989029482778
2320,3230.208261001987,2228.3261813427753
2330,3364.9646581243696,2233.204458067159
2340,3372.6989111932685,2238.074092482228
2350,3366.1403986459954,2242.8743746361174
2360,3335.242456879806,2247.50305295071
2370,3367.205395982825,2252.22753541076
2380,3437.2217719676096,2257.2065027912518
2390,3451.4335654986053,2262.203268744002
2400,3309.5192031027764,2266.5670851371633
2410,3348.8785108671145,2271.0580039161246
2420,3415.2570169577994,2275.786099011339
2430,3313.4996612693744,2280.056525193471
2440,3463.183960117475,2284.905408123487
2450,3410.4954605147263,2289.499653235289
2460,3376.034141677062,2293.9164600988734
2470,3348.489132415087,2298.185985088008
2480,3418.278318073102,2302.7024864306895
2490,3451.264616185599,2307.3151857469734
2500,3345.689410547445,2311.468682646176
2510,3309.393801181405,2315.444479931177
2520,3253.0593824333787,2319.1651739887257
2530,3601.056767193613,2324.2319391792585
2540,3483.8920581764046,2328.797530198933
2550,3433.7181352706248,2333.130552179606
2560,3460.6980306466503,2337.5351126423675
2570,3447.0952187922435,2341.8524671410046
2580,3527.083412773902,2346.446385534931
2590,3344.1970919852697,2350.298704864854
2600,3369.0781616995287,2354.217087391142
2610,3286.547751304695,2357.7892355287418
2620,3380.8373562659094,2361.6939993483497
2630,3408.322705843243,2365.673576179129
2640,3206.4545266055816,2368.8583525065023
2650,3319.2079450650017,2372.4445773840807
2660,3390.9700075638093,2376.273620354681
2670,3352.6873959286486,2379.9306007875425
2680,3351.0892958774566,2383.5543272617588
2690,3286.69299052191,2386.9117200619826
2700,3310.077750313795,2390.3308535073593
2710,3351.317566952771,2393.8769299407368
2720,3274.615708586266,2397.114940156346
2730,3101.323475801795,2399.694458601934
2740,3290.071570447037,2402.944010105018
2750,3555.4171454502984,2407.1348215062735
2760,3481.259782515635,2411.026578611379
2770,3415.860203237724,2414.6541368230264
2780,3427.0770821554443,2418.2959459788976
2790,3550.2928754767845,2422.3532826437645
2800,3576.6468265887065,2426.4757595864253
2810,3441.449355340517,2430.0877652652666
2820,3134.6515995726227,2432.586218578414
2830,3335.9939594954762,2435.7784720798873
2840,3319.736253397011,2438.890999478891
2850,3220.1825200237345,2441.632373235189
2860,3348.317726325179,2444.802601742496
2870,3362.082304431499,2447.998698267545
2880,3399.691563971822,2451.3031873845734
2890,3458.6886729839107,2454.7889503105225
2900,3384.472195292378,2457.994754603564
2910,3386.3210102206044,2461.1848791933144
2920,3262.0329579232266,2463.9275095999233
2930,3437.454351815805,2467.250126808851
2940,3132.7308299951374,2469.513666615607
2950,3291.5030389744634,2472.300071267672
2960,3540.1152494400085,2475.9075549777144
2970,3398.333543303718,2479.0133663862193
2980,3433.9472447550966,2482.2178424881286
2990,3388.123732680377,2485.2476280740566
3000,3274.0998281570733,2487.877135407666
3010,3299.523795574606,2490.5736359397815
3020,3433.8141538231357,2493.6969489129046
3030,3447.579996262031,2496.845077782044
3040,3583.3110149648905,2500.418978891198
3050,3660.6237012433166,2504.22292880055
3060,3505.323580378858,2507.4944995573424
3070,3300.315209358648,2510.0769774394316
3080,3496.3367348718834,2513.2791195090176
3090,3402.343591084866,2516.1563508086147
3100,3385.5736366370134,2518.960922698384
3110,3471.9414428205687,2522.0251687437935
3120,3418.7212241054485,2524.8991945622597
3130,3445.0472140633583,2527.8389645926145
3140,3431.821913920508,2530.717891182831
3150,3420.482821336952,2533.542541754749
3160,3347.458848289697,2536.1182262691004
3170,3561.363231665844,2539.352437642592
3180,3536.830597777292,2542.4891614166013
3190,3443.9933741659393,2545.3151934314897
3200,3389.9960330310364,2547.954821055239
3210,3432.599801910977,2550.710724422391
3220,3439.375307342473,2553.470552319658
3230,3080.154587173026,2555.1011530467586
3240,3323.995977317438,2557.474285220432
3250,3401.4155052562614,2560.071027435928
3260,3197.179990100765,2562.0253494072927
3270,3289.5487264964045,2564.2501915390635
3280,3299.102420422941,2566.490594675904
3290,3193.2488224083586,2568.3956348817774
3300,3151.892719967427,2570.1638078668857
3310,3042.099112019668,2571.589594284265
3320,3075.8433864634544,2573.1084310076963
3330,3282.208580514232,2575.237860886093
3340,3285.3021769826164,2577.363801952251
3350,3124.473594475126,2578.996965512021
3360,3397.001554088951,2581.431502978023
3370,3244.8366604780686,2583.4000642762435
3380,3513.27785484368,2586.151181999816
3390,3130.7458533949566,2587.757655956734
3400,3322.2843455838943,2589.9180285732837
3410,3343.7350447963063,2592.1286356589826
3420,3412.414348960826,2594.5271318967066
3430,3392.9601235125365,2596.8549248751797
3440,3289.930660989484,2598.8696799220243
3450,3480.713397236935,2601.425748667864
3460,3426.5441931681466,2603.810484056593
3470,3392.5261305889726,2606.083439810289
3480,3334.793628406591,2608.1774346051056
3490,3457.749097604197,2610.611737364415
3500,3384.1704511942794,2612.8219051182145
3510,3415.369009838785,2615.1083641060227
3520,3407.2406556746523,2617.3587399343423
3530,3279.403648996845,2619.2342212631315
3540,3154.7854314012784,2620.747077788946
3550,3489.885229951878,2623.1953542739125
3560,3617.3374839048365,2625.9878883459096
3570,3382.080578821923,2628.1057950419213
3580,3489.3622132978635,2630.511539226994
3590,3682.621485798286,2633.442207601845
3600,3460.5427759775203,2635.7397091806665
3610,3467.4883291944325,2638.0437219784876
3620,3477.3182661596766,2640.3621599458384
3630,3609.962607416114,2643.033235558704
