episode,interval,reward
10,-1029.8514412757918,-1029.8514412757918
20,-612.4095133960869,-821.1304773359394
30,-275.4756174295634,-639.2455240338141
40,-45.44760804598206,-490.79604503685596
50,33.20041186683662,-385.99675365611733
60,124.86162597055838,-300.8536903850048
70,244.90610559836767,-222.88800524452307
80,329.87524444620215,-153.79259903318246
90,320.1042301701683,-101.1373957883657
100,379.5285755410687,-53.07079865542226
110,382.5644709586295,-13.467592326872094
120,381.6314613049344,19.457328809111782
130,329.6976850037653,43.3219715933159
140,361.5902516704606,66.05542017025482
150,385.94859417529807,87.38163177059103
160,373.21135734986535,105.24598961929568
170,376.19489898988024,121.18416075874184
180,351.65460904893376,133.9880745526414
190,314.8878061146062,143.50911305590276
200,364.1316757853741,154.54024119237633
210,370.7567251100374,164.83626423607444
220,401.8526240093618,175.60973513486022
230,368.90158848129636,184.01372875861833
240,357.2019238396154,191.22990355365988
250,375.55974709823806,198.60309729544295
260,391.8267467126142,206.03477611918032
270,414.72904399844447,213.76419344804194
280,390.3728683144109,220.07164612184084
290,413.8106779239477,226.75230239087907
300,402.7872691927476,232.62013461760804
310,406.5017893994315,238.22922025573138
320,395.47106290442474,243.1430278385031
330,407.823138528925,248.1333342230613
340,393.30947848941344,252.40322081913044
350,407.887240848395,256.8456213913951
360,426.09659523506053,261.54703733149694
370,430.05394523207076,266.10127808556643
380,478.0820214380119,271.67971870010433
390,443.51942131475624,276.08586492099283
400,438.594763657654,280.1485873894092
410,450.55991298383026,284.30496118439515
420,426.385101367693,287.6878216649499
430,476.3927947370113,292.0763094108119
440,462.13503005873434,295.94128033462846
450,460.5458654088426,299.5991600029443
460,477.0212722183257,303.45616244240904
470,483.61359743647745,307.28929935717645
480,478.08101902517444,310.84746018359317
490,459.2599046192737,313.87628558023965
500,467.9082743111065,316.956925354857
