episode,interval,reward
10,-58.41735561088758,-58.41735561088758
20,-58.67677570705449,-58.54706565897104
30,-58.83827340303393,-58.64413490699201
40,-62.09080465794631,-59.50580234473058
50,-64.94992978615102,-60.59462783301468
60,-68.3173323866705,-61.88174525862397
70,-71.54151211040029,-63.261711951734874
80,-78.64484943402849,-65.18460413702157
90,-84.16843698526276,-67.29391889793725
100,-90.04813206084015,-69.5693402142275
110,-104.40417158717557,-72.73614306631364
120,-116.395511666594,-76.37442378300368
130,-122.86326647745173,-79.95048860565353
140,-134.915409200068,-83.87655436239744
150,-129.34478468876927,-86.90776971748892
160,-135.23857864994815,-89.92844527576763
170,-136.22517841630966,-92.65178251932893
180,-133.5782336118814,-94.92547424669296
190,-121.8427342568782,-96.34217214196586
200,-112.7040923455457,-97.16026815214484
210,-97.65541341980813,-97.18384649822404
220,-81.93349085196533,-96.49064851430322
230,-54.442200325849626,-94.66245511480524
240,-1.1728393265202022,-90.76705445696005
250,5.51600835032212,-86.91573194466876
260,-28.587128560180304,-84.67232412218844
270,42.27551261201687,-79.97055239129195
280,54.78210436313516,-75.15795750720527
290,4.704202479793679,-72.40408992144665
300,52.07739295169572,-68.25470715900859
310,84.64495348326173,-63.322460041516
320,215.4743534240145,-54.61005962071816
330,222.29774116181488,-46.21891414245959
340,490.7229007616238,-30.42650782175127
350,707.9476065465744,-9.330104554084821
360,782.2915808381244,12.65938670680988
370,933.6158045935679,37.550100703749294
380,1134.267859658523,66.41109436045387
390,1020.3341446234457,90.87065975181264
400,1079.2212957376528,115.57942565145868
410,1188.037363828406,141.73693633870133
420,1470.4702538084957,173.37344389750592
430,1523.3421007774523,204.76806382494658
440,1533.8708710799965,234.9749458080159
450,1383.9550863013305,260.5078378189785
460,1701.223195246921,291.82773689349904
470,1856.955270248351,325.12832270955977
480,1869.7586186902859,357.3081205424915
490,2101.9718295773796,392.91350235953007
500,1985.110634604406,424.75744500442767
510,2101.9353345482023,457.6432859758742
520,2089.419699725979,489.02360162491476
530,2112.395569418369,519.6532613946025
540,2425.175432899209,554.9407090150582
550,2350.9089625043225,587.5946772603174
560,2560.0526104054584,622.8171403521948
570,2312.69147646681,652.4640585296441
580,2759.8474052372435,688.7982541625337
590,2420.9224268501325,718.1562909877472
600,2409.2405899161267,746.3410293032206
610,2482.3296618386844,774.7998593447854
620,2362.532906148793,800.4084568738822
630,2497.3827158891027,827.3445562233302
640,2402.49712426782,851.956315099025
650,2724.89030592276,880.770684188621
660,2933.4651030550367,911.8721147775062
670,2954.075315120274,942.3527595587416
680,3166.1608134821427,975.0558191752621
690,3251.8621710443836,1008.0530126806117
700,3131.2580756865777,1038.384513580697
710,2951.4536502739074,1065.3291493087706
720,3031.1928738985393,1092.6328121502954
730,3018.3657169615994,1119.0127149559296
740,3060.3302206457183,1145.2467353030893
750,3038.825424090782,1170.4944511535916
760,3175.1722356156965,1196.8717904228301
770,3294.3837115659176,1224.1122049831304
780,3299.0834994181955,1250.7144010656311
790,3162.6300259843374,1274.9158646721967
800,3330.0961885354277,1300.6056187204867
810,3448.643889502238,1327.1246097177927
820,3299.6054656447914,1351.1792543022684
830,3415.99782145317,1376.0565864366165
840,3241.0641882458053,1398.2590578867262
850,3301.049159800043,1420.6448237915886
860,3353.691967900881,1443.1221161649526
870,3426.6336261541596,1465.9210990383913
880,3221.1837378993037,1485.867265389083
890,3238.7209755307126,1505.5622508962924
900,3180.3508493772774,1524.1710131016368
910,3170.0797983454186,1542.2579228295904
920,3398.486900467855,1562.4343247604409
930,3687.02808113242,1585.2794189149784
940,3577.378850254399,1606.4719660568874
950,3407.364412618692,1625.428728652275
960,3630.5798549891033,1646.315719551617
970,3428.7807849022706,1664.6916480603863
980,3426.7339579711916,1682.6716716309045
990,3427.5312650111578,1700.2965160084832
1000,2937.75191666493,1712.6710700150477
1010,3039.1106336929993,1725.8041350019582
1020,3161.1324140366946,1739.875980874848
1030,3310.7928983543243,1755.1276014329014
1040,3338.423895721948,1770.3516042626036
1050,3085.64913308861,1782.8782473942795
1060,3029.824793111482,1794.6418940519886
1070,3168.027148472564,1807.4772702615264
1080,3247.6136313034963,1820.8118661971005
1090,3181.8616334177223,1833.2985613092162
1100,3248.7875332355848,1846.166642872183
1110,3376.011602629444,1859.9490298970234
