episode,reward
10,-96.17619152737781
20,-136.55658776563317
30,-589.5606237532502
40,-150.78198777148953
50,-786.1899547988165
60,-130.31202645511198
70,-198.92184105925344
80,-142.61677755333747
90,-308.0043252550427
100,-1077.9739808509203
110,-102.71580580536208
120,-429.3749452313485
130,-96.33954056260247
140,-744.2671133021006
150,-101.00435736496877
160,-516.0962409928774
170,-160.64713598757314
180,-532.923152846386
190,-574.5760069309749
200,-108.73197440696413
210,-111.53748068027731
220,-112.80503191039676
230,-132.24017197182317
240,-136.66227885245314
250,-1004.850264911072
260,-145.00833579041878
270,-130.43368854235825
280,-295.7194302527825
290,-125.1926633112047
300,-638.3691021057166
310,-1373.2958260652167
320,-126.92040825226466
330,-2595.4100060124038
340,-593.0710066558302
350,-142.28801156139315
360,-492.9288290552824
370,-312.1391904149562
380,-113.39992402272541
390,-228.12003029397252
400,-358.48613415738305
410,-286.35218818676935
420,-280.7062646320863
430,-67.6538318160755
440,-91.82962049404891
450,-221.68760173692195
460,-301.5739019477507
470,-77.4830003039121
480,-86.77349869754237
490,-729.5838811495953
500,-194.46710668803848
510,-72.61682026235472
520,-102.50397056452607
530,-98.77526838049569
540,-2587.1768755421253
550,-69.21456783610374
560,-70.86475577251575
570,-1421.2936858484115
580,-89.92888994402577
590,-69.76250691606963
600,-310.73086640302154
610,-436.2779904293458
620,-71.02658378023816
630,-86.64313916628927
640,-65.74158372507266
650,-65.33418123910506
660,-155.94420501646658
670,-64.68183934058891
680,-65.77914485122312
690,-187.36636493577745
700,-89.92772023209125
710,-54.34493693381473
720,-57.467718836684774
730,-69.10157267662835
740,-61.290921002291974
750,-48.9271319284795
760,-60.15762342548239
770,-48.27089711184747
780,-72.82350865823248
790,-45.34882762964141
800,-61.26345902999115
810,-104.19063235956423
820,-190.0280479534683
830,-51.98297716980619
840,-121.8236409247257
850,-41.93151883192974
860,-113.50530660268741
870,-79.78570148724731
880,-155.39341752506164
890,-51.68623987882133
900,-183.5983812607671
910,-100.58524713592669
920,-152.49283179579214
930,-218.74905124073223
940,-37.94551128740437
950,-38.23875814318492
960,-47.07850308731797
970,-54.32436190936763
980,-43.96043953544905
990,-1668.2913663692907
1000,-199.55183963302255
1010,-49.768365681582075
1020,-47.90161672903043
1030,-57.51051281823166
1040,-140.97742991437147
1050,-38.57555767481386
1060,-29.2009585924641
1070,-48.691998908977666
1080,-33.58905633879384
1090,-33.997828385620686
1100,-38.27828913593499
1110,-36.048671861298565
1120,-41.4136939503212
1130,-45.429898323774125
1140,-45.95635548928569
1150,-36.99185045460943
1160,-205.41914904587182
1170,-50.73244182373482
1180,-398.6542185432854
1190,-124.66297014028154
1200,-41.422893047732025
1210,-37.359653503762864
1220,-42.006874327476346
1230,-40.187942483472966
1240,-39.799475779694006
1250,-477.67771067023756
1260,-47.39256126290212
1270,-91.82407065698553
1280,-32.27574884545052
1290,-39.37877456963594
1300,-37.952765614127124
1310,-395.5829111339128
1320,-40.830934834889845
1330,-276.43200401519573
1340,-160.34156440032416
1350,-151.66898893115297
1360,-197.9001030962712
1370,-26.70498362003534
1380,-35.34540483865031
1390,-31.28318792693188
1400,-26.29190320070559
1410,-80.79010343055992
1420,-33.395285601957475
1430,-31.543081996750832
1440,-27.2370402112033
1450,-35.008919936144
1460,-110.13737181451985
1470,-27.623776843803387
1480,-24.61702341719628
1490,-178.13139979026553
1500,-31.406340500745287
1510,-29.73479515529607
1520,-24.486408767025708
1530,-34.6424806261282
1540,-65.17318810748895
1550,-34.49375038130717
1560,-145.86909202751784
1570,-26.97351643984698
1580,-825.6386500858049
1590,-82.29902758477463
1600,-23.830673295842256
1610,-40.723650976640634
1620,-15.85352034770738
1630,-25.398006777127357
1640,-103.27626645485341
1650,-26.71872567929342
1660,-17.011359313474077
1670,-16.02450357830082
1680,-12.65363923556142
1690,-59.54720346558908
1700,-24.15264384269001
1710,-18.549486715630383
1720,-11.031840287398456
1730,-12.3770674693665
1740,-18.965916796276243
1750,-21.390801248730757
1760,-469.84015453876384
1770,-14.912254665264541
1780,-16.26468604957157
1790,-19.51649427306888
1800,-13.25043601469004
1810,-17.759231141193855
1820,-24.87679982502043
1830,-19.831937288538818
1840,-21.94506256267738
1850,-21.264844059657243
1860,-21.173578334053765
1870,-17.86852359783653
1880,-23.605602790815084
1890,-133.46497163499248
1900,-79.69146898827745
1910,-11.1093242219654
1920,-9.210809405565502
1930,-11.262457192444552
1940,-10.094806588944637
1950,-15.416195731686852
1960,-10.54277317605163
1970,-13.876720684954986
1980,-7.7023488583323765
1990,-8.449838302402481
2000,-7.953086100175439
2010,-8.643262285920049
2020,-15.97145558128047
2030,-50.093123357068954
2040,-12.3667945103017
2050,-99.87035402092178
2060,-9.631760273742781
2070,-15.559917301469012
2080,-12.352721933367425
2090,-6.622324320401932
2100,-6.421714362024486
2110,-4.9540441679510705
2120,-9.702778793477115
2130,-1286.0292915963703
2140,-9.677362648453572
2150,-7.1382247176827205
2160,-7.700393363229489
2170,-4.10839995480376
2180,-4.220800914644512
2190,-7.112935814052817
2200,-90.75625508425418
2210,-170.05747188761845
2220,-6.785836354553533
2230,-608.4751713629161
2240,-104.29197191103209
2250,-4.809457017234425
2260,-159.18567891675798
2270,-6.751270748199133
2280,-9.95370026552953
2290,-6.684184383415397
2300,-5.155844670394177
2310,-7.090751820008552
2320,-8.512691417163468
2330,-7.572134541511789
2340,-6.846120229091405
2350,-5.213593476761965
2360,-3.758639616416265
2370,-221.23879173282697
2380,-7.106599278785819
2390,-5.5053641185976865
2400,-5.43041886981072
2410,-8.485205832354216
2420,-6.876322241959066
2430,-5.521587177763501
2440,-6.670276461186961
2450,-55.11160544696776
2460,-4.879432117876154
2470,-4.94830134174355
2480,-2.25754254886312
2490,-74.69194126681852
2500,-2.578688742593087
2510,-2.757646421223459
2520,-65.43272616579857
2530,-0.46081903762522
2540,-2.9721186467721785
2550,-0.7747129149028085
2560,-5.501291814935484
2570,-2.629419187142965
2580,-15.534340933989345
2590,-1.8896036603529127
2600,-4.4676259668431015
2610,-4.309073717648489
2620,-7.370675149430558
2630,-176.42452248875833
2640,-2.1400033833649643
2650,0.254902158885228
2660,0.9375131726270282
2670,-46.87328530516761
2680,-52.24572239725024
2690,-77.83727017306587
2700,-3.914267172942361
2710,-0.5827820634879375
2720,-106.16179762857304
2730,-227.53792064682276
2740,-4.896882547717917
2750,-7.965155665199807
2760,-3.900606614285364
2770,-6.911713799647515
2780,5.874115970639802
2790,-0.6055208080787652
2800,-3.3272957122969653
2810,-52.768246019584275
2820,-3.2499826603877726
2830,-2.5693364279405353
2840,7.626397862243808
2850,-385.90942932040844
2860,-1.4615118845511081
2870,1.5606398055888138
2880,-558.1020659285242
2890,2.0617258307539843
2900,1.8207851736346876
2910,-1.9769051493907377
2920,0.22514105748116403
2930,3.789134433599812
2940,-1.3333981897048923
2950,-854.7099823213787
2960,9.059271150107225
2970,2.747209089861962
2980,1.2648153839468295
2990,2.2394167257688227
3000,2.739071638050851
