episode,interval,reward
10,38.778180757379154,38.77818075737914
20,41.01080288861577,39.894491822997445
30,40.81324363054747,40.20074242551413
40,39.07197439664547,39.91855041829697
50,41.01401794356778,40.13764392335113
60,43.10106594987954,40.631547594439205
70,44.32552116005761,41.15925810381326
80,44.38253910508513,41.56216822897225
90,45.152642804915196,41.96110984852146
100,46.984088204566135,42.463407684125926
110,47.02474768744079,42.87807495715455
120,46.36987873498393,43.169058605307
130,46.328216259676054,43.41207073256616
