episode,interval,reward
10,-1284.146692553902,-1284.146692553902
20,-899.7929745259214,-1091.969833539912
30,-294.3608528446425,-826.1001733081555
40,-53.539369735690585,-632.9599724150393
50,7.297815750908887,-504.90841478184984
60,52.94257152724108,-411.9332503970014
70,69.7200003742804,-343.12564314396127
80,72.33818950848175,-291.1926640624059
90,77.02279894206394,-250.2798348396871
100,88.9937295314548,-216.3524784025729
110,95.4747518317679,-188.0045483812692
120,98.72087764025227,-164.11076287947571
130,101.13486522707947,-143.7072530251253
140,99.16893488480386,-126.35895388870179
150,112.28508856839187,-110.44935105822888
160,109.00069854239155,-96.73372295819014
170,115.75514098065244,-84.23437802061117
180,111.62137503675486,-73.35350285075755
190,120.29512007070537,-63.161470065417404
200,126.673685678199,-53.669712278236595
210,126.77057560752783,-45.077317617009726
220,125.319755205089,-37.33199612509615
230,124.47766624284903,-30.29679341344636
240,128.30035366127592,-23.688578951999602
250,128.833296269761,-17.587703943129178
260,133.1480936911046,-11.79017326488942
270,134.61932682512997,-6.367599187481293
280,136.9418927907513,-1.2494030454015583
290,137.46452288150857,3.5338357796643094
300,136.91939410750217,7.980021057258905
310,134.5235990010783,12.062071958672433
320,126.35126837135753,15.633609346568841
330,137.20221731616647,19.317506557768763
340,133.09467672956015,22.663893915762635
350,128.09230335821346,25.67613418554695
360,127.7144452110739,28.510531714033803
370,126.99098721709524,31.172165646548972
380,137.66800349314073,33.97468769514348
390,130.6434330318686,36.45337347300823
400,132.1562664680703,38.84594579788478
410,137.703479510357,41.25710515672557
420,138.11566593882569,43.563261365823195
430,139.42447665910785,45.79259195403912
440,139.88582625884933,47.93107455187571
450,141.38041120427042,50.007726477484496
460,142.85169575804505,52.026073635757555
470,137.68972476352033,53.848704510816326
480,139.00408831410735,55.622775006718236
490,137.22840869276234,57.28819610235179
500,144.32457499669096,59.02892368023858
