episode,interval,reward
10,-1090.9403478474696,-1090.9403478474696
20,-723.5197155429095,-907.2300316951896
30,-413.75132735636487,-742.7371302489147
40,-116.37894317617918,-586.1475834807305
50,-4.946615037478103,-469.90738979208
60,50.56157143440451,-383.1625629209992
70,75.86452460209529,-317.58726470341423
80,90.98262684455071,-266.5160282599186
90,121.94758674867349,-223.35340437007503
100,178.98080942128587,-183.11998299093895
110,266.7513105356431,-142.22259267034062
120,331.64676859111063,-102.73347923188636
130,394.0700872361485,-64.51782027280677
140,343.7418272282736,-35.35641687987245
150,381.3779342069318,-7.574126807418831
160,404.5347167594297,18.182675915509204
170,441.4967995994264,43.08350672044551
180,438.9042868048574,65.0735500584684
190,453.8285292729861,85.53433843817986
200,435.6236037762401,103.03880170508286
210,425.16628171724415,118.37820551518575
220,427.45038564161104,132.4269409754778
230,454.90358425408414,146.44766459628676
240,465.9082086727718,159.75852059947363
250,512.2294970089724,173.85735965585354
260,515.3335687552884,186.99106000583186
270,545.9411330315164,200.2855071549313
280,508.7524243265464,211.30218276820324
290,486.6467198488111,220.79682197787935
300,504.13114149577325,230.24129929514248
310,470.4572889578596,237.99020218748817
320,511.498753980053,246.53734443100575
330,481.2579438740737,253.65008986867448
340,466.8109365663039,259.9195265362518
350,517.0175560492946,267.2651845223387
360,472.82609402779434,272.9752097863791
370,508.969247846701,279.3534270312527
380,515.2126341524794,285.56024827128493
390,515.1155897711368,291.446282668717
400,522.1128572075968,297.212947032189
410,515.5871286612376,302.53914658411696
420,518.0851985333454,307.671195440051
430,506.92909309968746,312.30510003678677
440,544.6694678608662,317.5861083964249
450,567.1032106777502,323.13093289156546
460,512.0653396363557,327.2382026034088
470,541.588910091427,331.7988559542178
480,545.2466145260524,336.2456842577977
490,530.3972168672115,340.20796043350003
500,532.9085433024107,344.0619720908783
