episode,interval,reward
10,-1095.9344509360517,-1095.9344509360517
20,-715.4523731372532,-905.6934120366528
30,-435.32894374437285,-748.9052559392261
40,-202.53849863239972,-612.3135666125194
50,-59.36573641528029,-501.72400057307175
60,28.987308728859876,-413.2721156894166
70,62.68487870955521,-345.2782593467063
80,119.43343484329071,-287.1892975729567
90,199.2484324873715,-233.14066089958686
100,251.23094166310256,-184.70350064331794
110,266.7298025333752,-143.6641094454367
120,321.2880240283824,-104.91809832261849
130,360.71590840256715,-69.10009780529651
140,369.7264234166042,-37.75534628944646
150,385.625988117427,-9.529923995654892
160,407.3439194892304,16.52469122215044
170,362.0349874863213,36.84882629651344
180,356.17169802899485,54.588985837206835
190,360.3438320574608,70.68134616458862
200,383.8321854798645,86.33888813035243
210,433.5165822763046,102.87115928015967
220,398.8825905879352,116.32622433960401
230,456.09132835228866,131.09862016624248
240,420.4284683481986,143.1540305071574
250,382.3334752391139,152.72120829643566
260,429.3823772050958,163.36202248523026
270,442.0902033607778,173.6852884435839
280,449.9385831567855,183.55147754048394
290,462.0778963751054,193.1558368106433
300,450.8000060274934,201.74397578453824
310,476.5745827418574,210.60947923477437
320,490.9177887712728,219.36911390778997
330,483.7159677426004,227.37962463005692
340,498.1368694927555,235.3430730083716
350,516.3038426587027,243.37052356980962
360,513.6379607184178,250.87795237949317
370,489.45431820606956,257.32596226669796
380,495.87948290100394,263.6036864939166
390,509.5010786051577,269.9087478301023
400,523.7842400743345,276.2556351362082
410,449.15100091493093,280.47259527715266
420,424.79181934285043,283.9087672787169
430,457.6926548872816,287.9502530370555
440,483.5691330723568,292.3961366742214
450,479.9552293481118,296.5641165114189
460,477.3871464756136,300.4950519454231
470,475.51521840877786,304.21888527443065
480,466.50493634418535,307.5998446717171
490,458.7124588990749,310.6837755743162
500,482.45078338387157,314.1191157305072
