episode,interval,reward
10,-1318.8595284575263,-1318.8595284575263
20,-1037.513623018874,-1178.1865757382
30,-523.1875588665308,-959.8535701143103
40,-154.5072834749204,-758.516998454463
50,-27.296354843664574,-612.2728697323032
60,30.27183597969904,-505.1820854469694
70,57.11137276508815,-424.8544485595325
80,77.62679774903904,-362.044292770961
90,108.33423892841427,-309.7800114710304
100,117.91865689139823,-267.0101446347875
110,122.13183849215913,-231.63360071415593
120,140.27926681628963,-200.64086175328546
130,147.4638500393664,-173.8635762307738
140,156.5228826386787,-150.26454345438424
150,167.5292419687339,-129.07829109284307
160,173.87997896393225,-110.14339921429462
170,178.623766775285,-93.15709533255462
180,203.0789739250177,-76.69953592935613
190,196.01091842549232,-62.346354121206204
200,215.4826699252444,-48.45490291888368
210,239.80296504472827,-34.72833777775929
220,276.1939050666855,-20.595508557557253
230,222.63482830419366,-10.020276520089825
240,313.8788797738283,3.4755216588234314
250,338.20437746931054,16.864675891242914
260,295.00625736009073,27.56242902466014
270,340.27148436270863,39.144245889032305
280,344.8437824740983,50.06208648135608
290,324.1214957111685,59.5124109375565
300,293.0575440769264,67.29724870886884
310,301.46185033686254,74.85094553557832
320,314.300965409028,82.33375865662364
330,293.46840907445664,88.73177836625496
340,271.95103618871553,94.1205800669156
350,261.17750222433887,98.89363498569915
360,318.0686354630616,104.98182944340367
370,265.49426643657426,109.32000341619205
380,262.77485645313584,113.35828902242743
390,271.8094006399856,117.42113803826226
400,365.597633443609,123.62555042339595
410,382.8010714201258,129.94690459404788
420,383.33961079517735,135.98006426550333
430,335.814759085301,140.6273827496847
440,398.79248128090296,146.49477135266693
450,434.245934225985,152.8892416387407
460,368.95839173243263,157.58639707556006
470,324.4871459829633,161.13747683954736
480,382.9366656706399,165.75829327352847
490,468.72435827279804,171.9412741918809
500,412.67852334461094,176.75601917493552
